day;time distance;space distance;time;name one;name two
2022/01/31;18.483333333333334;16;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;3.316666666666667;16;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;11.966666666666667;18;1900-01-01T08:17:38.000000000;T30;T6
2022/01/31;3.316666666666667;16;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;6.033333333333333;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;18.483333333333334;16;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;6.033333333333333;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;10.316666666666666;2;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;5.1;0;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;10.3;4;1900-01-01T14:13:46.000000000;T30;T6
2022/01/31;5.033333333333333;4;1900-01-01T14:13:46.000000000;T30;T6
2022/01/31;10.25;3;1900-01-01T14:29:03.000000000;T30;T6
2022/01/31;5.033333333333333;3;1900-01-01T14:29:03.000000000;T30;T6
2022/01/31;6.033333333333333;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;9.866666666666667;3;1900-01-01T14:59:14.000000000;T30;T6
2022/01/31;5.433333333333334;1;1900-01-01T14:59:14.000000000;T30;T6
2022/01/31;9.966666666666667;1;1900-01-01T15:14:38.000000000;T30;T6
2022/01/31;5.3;1;1900-01-01T15:14:38.000000000;T30;T6
2022/02/03;9.3;7;1900-01-01T08:57:00.000000000;T10;T12
2022/02/03;9.15;19;1900-01-01T17:36:08.000000000;T10;T54
2022/02/03;6.066666666666666;17;1900-01-01T17:51:21.000000000;T10;T54
2022/02/03;9.25;4;1900-01-01T17:51:21.000000000;T10;T54
2022/02/03;6.05;8;1900-01-01T18:06:39.000000000;T10;T54
2022/02/03;3.8333333333333335;10;1900-01-01T10:26:50.000000000;T30;T6
2022/02/03;3.8333333333333335;10;1900-01-01T10:26:50.000000000;T30;T6
2022/02/03;3.3;11;1900-01-01T10:26:50.000000000;T30;T6
2022/02/03;17.9;5;1900-01-01T10:26:50.000000000;T30;T6
2022/02/03;10.0;11;1900-01-01T10:33:00.000000000;T30;T6
2022/02/03;10.0;11;1900-01-01T10:33:00.000000000;T30;T6
2022/02/03;9.466666666666667;12;1900-01-01T10:33:00.000000000;T30;T6
2022/02/03;11.733333333333333;6;1900-01-01T10:33:00.000000000;T30;T6
2022/02/03;10.0;11;1900-01-01T10:33:00.000000000;T30;T6
2022/02/03;10.0;11;1900-01-01T10:33:00.000000000;T30;T6
2022/02/03;9.466666666666667;12;1900-01-01T10:33:00.000000000;T30;T6
2022/02/03;11.733333333333333;6;1900-01-01T10:33:00.000000000;T30;T6
2022/02/11;8.416666666666666;10;1900-01-01T09:14:00.000000000;T10;T12
2022/03/16;16.75;8;1900-01-01T08:32:21.000000000;T12;T6
2022/03/16;1.5833333333333333;8;1900-01-01T08:47:31.000000000;T12;T6
2022/03/16;13.933333333333334;10;1900-01-01T09:03:02.000000000;T12;T6
2022/03/16;18.15;13;1900-01-01T09:33:19.000000000;T12;T6
2022/03/16;2.966666666666667;14;1900-01-01T09:48:30.000000000;T12;T6
2022/03/16;18.266666666666666;15;1900-01-01T09:48:30.000000000;T12;T6
2022/03/16;12.316666666666666;13;1900-01-01T10:03:47.000000000;T12;T6
2022/03/16;2.9833333333333334;17;1900-01-01T10:03:47.000000000;T12;T6
2022/03/16;2.966666666666667;14;1900-01-01T09:48:30.000000000;T12;T6
2022/03/16;18.266666666666666;15;1900-01-01T09:48:30.000000000;T12;T6
2022/04/20;0.6833333333333333;14;1900-01-01T13:03:24.000000000;T10;T30
2022/04/27;1.1833333333333333;15;1900-01-01T13:35:01.000000000;T10;T30
